=== google-t5/t5-base ===
to mimic a movement or a facial expression,       eine Bewegung oder einen Gesichtsausdruck nachzuahmen,eine Bewegung oder einen Gesichtsausdruck zu imitieren,
a giant mushroom.                                 Ein riesiger Pilz.                                ein riesiger Pilz.                                
and share ideas for free.\"                       und teilen Ideen kostenlos.\"                     und Ideen austauschen, umsonst.\"                 
the U.S. Navy had a system that was secret at the time,Die US-Marine hatte ein damals geheimes System,   verfügte die US-Marine über ein zu der Zeit geheimes System
We had about 20 people who made donations --      Wir hatten etwa 20 Leute, die Spenden spendeten.  Wir hatten etwa 20 Leute, welche Geld gespendet hatten --
watching the people going to work,                zusehen, wie die Menschen zur Arbeit gehen,       zu sehr ähnelten.                                 
it’s famous for its [beach] volleyball courts,    ist berühmt für seine [Strand] Volleyballplätze,  der berühmt ist für seine Volleyballfelder        
digitally enabled and transparent,                digital aktiviert und transparent,                digital besser ausgestattet und transparenter,    
I'm going to give you a little clue.              Ich gebe Ihnen einen kleinen Hinweis.             gebe ich Ihnen einen kleinen Hinweis.             
and so it bolsters the colony health and their social immunity.und so stärkt es die Gesundheit der Kolonie und ihre soziale Immunität.Auf diese Weise wird die Gesundheit und soziale Sicherheit des Bienenvolks gestärkt.
and it actually sleeps four people.               Und es schläft tatsächlich vier Personen.         können vier Leute darin schlafen.                 
I'll tell you: 158.                               Ich sage Ihnen: 158.                              Ich verrate es Ihnen: 158.                        
Here you see, with felt and paper water bottles,  Hier sehen Sie, mit Filz- und Papierwasserflaschen,Hier sehen wir, mit Filz, Papier und Wasserflaschen,
So, we were talking about the differences         Also, wir sprachen über die Unterschiede          Also haben wir über die Unterschiede              
It's so unpredictable                             Es ist so unberechenbar                           Es ist so unberechenbar                           
that the West still leads in terms of technological innovation.daß der Westen in Sachen technologischer Innovation immer noch an der Spitze steht.dass der Westen immer noch im Bereich technologischer Innovationen führend ist.
So right now, in my lab, we're combining          Also im Moment, in meinem Labor, kombinieren wir  In meinem Labor kombinieren wir gerade zwei Methoden,
that in the next 10 years                         dass in den nächsten 10 Jahren                    dass in den nächsten 10 Jahren                    
This has been replicated over and over again      Dies wurde immer wieder repliziert.               Diese bedingten Motivatoren --                    
and we're the caterpillars                        und wir sind die Raupen                           und wir sind die Raupen,                          
the dog is a surrogate for you,                   der Hund ist ein Ersatz für dich,                 der Hund ein Stellvertreter für Sie ist,          
nothing would have happened.                      Es wäre nichts passiert.                          Die Beziehung war eins-zu-eins.                   
not for use in patients.                          nicht zur Anwendung bei Patienten bestimmt.       nicht zur Anwendung bei Patienten.                
And they actually use the Nintendo Wii Remote.    Und sie benutzen tatsächlich die Nintendo Wii Remote.die in letzter Zeit viel Aufmerksamkeit bekommen haben
we are polluting so much                          Wir verschmutzen so viel                          verursachen wir so viel Verschmutzung,            
the girl means to mean,                           das Mädchen meint,                                Das Mädchen meint zu meinen,                      
and 18 of those are bats.                         18 davon sind Fledermäuse.                        18 davon sind Fledermäuse.                        
and you need a controller,                        und du brauchst einen Controller,                 und man braucht Steuerung.                        
who had studied the old Vatican mosaic techniques,der die alten Mosaiktechniken des Vatikans studiert hatte,die die alten vatikanischen Mosaiktechniken studiert hat,
hundreds of thousands of DNA samples from people all over the world.\"Hunderttausende von DNA-Proben von Menschen auf der ganzen Welt.\"und hunderttausende DNA-Proben aus der ganzen Welt sammeln.
you can lower their demand for oxygen,            Sie können ihre Nachfrage nach Sauerstoff senken, und wir sollten das auf eine größere Spielwiese bringen.\"
One of the things I'm pointing out is that        Eines der Dinge, die ich aufzeige, ist:           Ich will darauf hinaus,                           
Look around the room: chairs, wood,               Schauen Sie sich das Zimmer an: Stühle, Holz,     Sehen Sie sich hier im Raum um, Stühle, Holz.     
So a tremendous fund of knowledge                 So ein enormer Fundus an Wissen                   Ein unglaublicher Wissensvorrat,                  
is to reconcile three time scales:                Drei Zeitskalen sollen miteinander in Einklang gebracht werden:und die langfristige Entwicklung der Umwelt.      
They just make it [with] nuts or something.       Sie machen es einfach mit Nüssen oder so.         Die bereiten es mit Nüssen oder sowas zu.         
vanish in my face.                                Verschwinde in meinem Gesicht.                    vor meinen Augen verschwinden.                    
That was why I put it as a single point up there. Deshalb habe ich es als einen einzigen Punkt da oben bezeichnet.Darum habe ich sie hier als einzelnen Punkt.      
It is, I agree, a nice thing to do.               Es ist, ich stimme zu, eine schöne Sache zu tun.  Es ist, das gebe ich zu, ein nettes Projekt.      
that has been shuttle loomed                      Das Shuttle wurde angestrahlt                     die schussgewebt wurde                            
They're originally from Crete. They're a seafaring people.Sie stammen ursprünglich aus Kreta, sind Seefahrer.Sie kommen ursprünglich aus Kreta. Sie sind ein seefahrendes Volk.
and criminals are actually calling Tide \"liquid gold.\"und Kriminelle nennen tatsächlich Tide \"flüssiges Gold.\"Verbrecher nennen Tide tatsächlich \"flüssiges Gold\".
Chinese is always cheating, right?                Chinesen betrügen immer, oder?                    Die Chinesen betrügen immer, nicht?               
And you've all got an idea in your head of the answer.Und Sie haben alle eine Idee in Ihrem Kopf der Antwort.Und sie alle haben eine Vorstellung von der Antwort im Kopf.
And for those who want to see more, I've got my book downstairs in the bookshop.Und für diejenigen, die mehr sehen wollen, habe ich mein Buch unten im Buchladen.Und für diejenigen, die mehr sehen wollen, mein Buch gibt es unten im Buchladen.
It turns out that approximately 200 million CAPTCHAsEs stellt sich heraus, dass etwa 200 Millionen CAPTCHAsetwa 200 Millionen CAPTCHAs                       
